Age,AgeGroup,Class,Event,EventNumber,Finals,Gender,Heat,MeetDate,MeetName,Name,Rank,Team,TeamType,OrigTeamName
15,,Open,1600 Meter Run,Event 1,5:44.60,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Jeniel Jones,13,Edwin Allen High,,Edwin Allen
16,,Open,1600 Meter Run,Event 1,6:07.50,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Megan Thompson,14,Holmwood Technical High,,Holmwood Tec
13,,Open,1600 Meter Run,Event 1,6:11.10,Women,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Jodian Thompson,15,Edwin Allen High,,Edwin Allen
19,,Open,1600 Meter Run,Event 2,4:42.12,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Garfield Gordon,1,Mavis Bank High,,Mavis Bank H
18,,Open,1600 Meter Run,Event 2,4:42.15,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Shaquille Onfroy,2,Holmwood Technical High,,Holmwood Tec
18,,Open,1600 Meter Run,Event 2,4:42.62,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Tajshae Wilson,3,Bellefield High,,Bellefield H
18,,Open,1600 Meter Run,Event 2,4:44.83,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Romar Mundle,4,Bellefield High,,Bellefield H
15,,Open,1600 Meter Run,Event 2,4:57.89,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Christipher Humphery,5,Edwin Allen High,,Edwin Allen
18,,Open,1600 Meter Run,Event 2,5:02.02,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Amiel Thomas,6,Edwin Allen High,,Edwin Allen
16,,Open,1600 Meter Run,Event 2,5:03.29,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Aj Sweeney,7,Edwin Allen High,,Edwin Allen
16,,Open,1600 Meter Run,Event 2,5:04.14,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Akeem Tomlin,8,Bellefield High,,Bellefield H
14,,Open,1600 Meter Run,Event 2,5:20.53,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Chevonne Hall,9,Edwin Allen High,,Edwin Allen
14,,Open,1600 Meter Run,Event 2,5:24.65,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Quwayne Reid,10,Holmwood Technical High,,Holmwood Tec
18,,Open,1600 Meter Run,Event 2,5:28.07,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Shamar Legister,11,Holmwood Technical High,,Holmwood Tec
17,,Open,1600 Meter Run,Event 2,5:28.21,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Rojae Campbell,12,Bellefield High,,Bellefield H
14,,Open,1600 Meter Run,Event 2,5:28.28,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Domanic Campbell,13,Edwin Allen High,,Edwin Allen
21,,Open,1600 Meter Run,Event 2,5:30.91,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Robert Mills,14,Knox Community College,,Knox Communi
17,,Open,1600 Meter Run,Event 2,5:32.67,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Joel Green,15,Bellefield High,,Bellefield H
,,Open,1600 Meter Run,Event 2,5:36.88,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Roshane Sinclair,16,Charlemont High,,Charlemont H
,,Open,1600 Meter Run,Event 2,5:36.91,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Rojay Buchanan,17,Charlemont High,,Charlemont H
13,,Open,1600 Meter Run,Event 2,5:50.63,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Jahiel Stamp,18,Mavis Bank High,,Mavis Bank H
14,,Open,1600 Meter Run,Event 2,DNF,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Ramon Grant,--,Bellefield High,,Bellefield H
18,,Open,1600 Meter Run,Event 2,DNF,Men,None,2016-12-17,Gerald Claude Foster Over Distant Meet,Tehjmar Burke,--,Unattached,,Unattached
12,12 & Under,Class 4,300 Meter Dash,Event 3,41.54,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Rickianna Russell,1,Holmwood Technical High,,Holmwood Tec
12,12 & Under,Class 4,300 Meter Dash,Event 3,41.56,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Henriesha Barrett,2,Holmwood Technical High,,Holmwood Tec
12,12 & Under,Class 4,300 Meter Dash,Event 3,42.03,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Jenay Mcneil,3,Knox College,,Knox College High
12,12 & Under,Class 4,300 Meter Dash,Event 3,42.33,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Tia Clayton,4,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,42.73,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Tina Clayton,5,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,42.99,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Sophia Griffiths,6,Spanish Town High,,spainsh town high
12,12 & Under,Class 4,300 Meter Dash,Event 3,44.00,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Annalice Brady,7,Knox College,,Knox College High
12,12 & Under,Class 4,300 Meter Dash,Event 3,44.34,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Alishia Mckenzie,8,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,44.41,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Davonie Mcfarlane,9,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,44.55,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Leanna Lewis,10,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,44.74,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Britney Johnson,11,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,44.92,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Tawana Howell,12,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,45.24,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Chantel Williams,13,Alpha Academy,,Cma Alpha
12,12 & Under,Class 4,300 Meter Dash,Event 3,45.28,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Onecia Sweeny,14,Alpha Academy,,Cma Alpha
12,12 & Under,Class 4,300 Meter Dash,Event 3,45.59,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Rochele Salmond,15,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,45.77,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Ashia Martin,16,Edwin Allen High,,Edwin Allen
11,12 & Under,Class 4,300 Meter Dash,Event 3,46.02,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Tusandre Dennis,17,St. Catherine High,,St Catherine
11,12 & Under,Class 4,300 Meter Dash,Event 3,46.45,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Tonique Evans,18,Alpha Academy,,Cma Alpha
12,12 & Under,Class 4,300 Meter Dash,Event 3,46.47,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Tyiesha Baker,19,Bellefield High,,Bellefield H
12,12 & Under,Class 4,300 Meter Dash,Event 3,46.73,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Luana Lewis,20,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,47.13,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Fabrese Woolery,21,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,47.40,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Cambrea Findlater,22,Alpha Academy,,Cma Alpha
12,12 & Under,Class 4,300 Meter Dash,Event 3,47.53,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Sanaye Gibson,23,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,47.83,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Akeida Gordon,24,Bridgeport High,,Bridgeport H
11,12 & Under,Class 4,300 Meter Dash,Event 3,48.13,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Ebony Stephenson,25,Bridgeport High,,Bridgeport H
12,12 & Under,Class 4,300 Meter Dash,Event 3,48.43,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Janell Barnes,26,Edwin Allen High,,Edwin Allen
13,12 & Under,Class 4,300 Meter Dash,Event 3,48.69,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Trudy-Ann Johnson,27,Tivoli Gardens High,,Tivoli Garde
12,12 & Under,Class 4,300 Meter Dash,Event 3,48.75,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Malika Brown,28,Port Antonio High,,Port Antonio
11,12 & Under,Class 4,300 Meter Dash,Event 3,48.81,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Brianna Watt,29,Edwin Allen High,,Edwin Allen
,12 & Under,Class 4,300 Meter Dash,Event 3,48.97,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Breanna Sinclair,30,Charlemont High,,Charlemont H
12,12 & Under,Class 4,300 Meter Dash,Event 3,49.10,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Tadavea Williams,31,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,49.12,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Anthonique Simpson,32,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,49.19,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Marnalee Wilson,33,Port Antonio High,,Port Antonio
12,12 & Under,Class 4,300 Meter Dash,Event 3,49.23,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Amelia Edwards,34,Port Antonio High,,Port Antonio
14,12 & Under,Class 4,300 Meter Dash,Event 3,49.75,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Kenniecia Lewis,35,Spanish Town High,,spainsh town high
12,12 & Under,Class 4,300 Meter Dash,Event 3,49.77,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Chatelle Powell,36,Penwood High School,,Penwood High School
12,12 & Under,Class 4,300 Meter Dash,Event 3,49.97,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Serena Cole,37,Edwin Allen High,,Edwin Allen
13,12 & Under,Class 4,300 Meter Dash,Event 3,50.37,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Tanya Laing,38,Spanish Town High,,spainsh town high
12,12 & Under,Class 4,300 Meter Dash,Event 3,50.52,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Hanna-Gay Wilson,39,Port Antonio High,,Port Antonio
12,12 & Under,Class 4,300 Meter Dash,Event 3,50.75,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Kaheliya White,40,Knox College,,Knox College High
12,12 & Under,Class 4,300 Meter Dash,Event 3,51.11,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Sarah Farquharson,41,Bellefield High,,Bellefield H
,12 & Under,Class 4,300 Meter Dash,Event 3,51.49,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Kellein Reid,42,Charlemont High,,Charlemont H
12,12 & Under,Class 4,300 Meter Dash,Event 3,51.59,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Ronnieka West,43,Port Antonio High,,Port Antonio
12,12 & Under,Class 4,300 Meter Dash,Event 3,51.82,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Taffia Dennis,44,Port Antonio High,,Port Antonio
11,12 & Under,Class 4,300 Meter Dash,Event 3,52.52,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Taneisha Campbell,45,Edwin Allen High,,Edwin Allen
12,12 & Under,Class 4,300 Meter Dash,Event 3,53.12,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Alaina-Kay Anderson,46,Alpha Academy,,Cma Alpha
12,12 & Under,Class 4,300 Meter Dash,Event 3,53.43,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Abigail Mclean,47,Mavis Bank High,,Mavis Bank H
12,12 & Under,Class 4,300 Meter Dash,Event 3,53.55,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Abigail Bonnick,48,Edwin Allen High,,Edwin Allen
11,12 & Under,Class 4,300 Meter Dash,Event 3,53.78,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Zaleah Powell,49,Alpha Academy,,Cma Alpha
15,12 & Under,Class 4,300 Meter Dash,Event 3,55.85,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Lashanna Graham,50,Edwin Allen High,,Edwin Allen
14,12 & Under,Class 4,300 Meter Dash,Event 3,56.99,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Megan Harrison,51,Spanish Town High,,spainsh town high
12,12 & Under,Class 4,300 Meter Dash,Event 3,1:01.23,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Arianna Dunbar,52,Bellefield High,,Bellefield H
12,12 & Under,Class 4,300 Meter Dash,Event 3,DNF,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Adrianna Watson,--,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,41.08,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Dyandra Gray,1,Holmwood Technical High,,Holmwood Tec
14,13-14,Class 3,300 Meter Dash,Event 4,41.13,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Kevona Davis,2,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,41.67,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Ackelia Smith,3,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,41.84,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Selisa Palmer,4,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,42.13,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Laila Pyne,5,Bridgeport High,,Bridgeport H
14,13-14,Class 3,300 Meter Dash,Event 4,42.48,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Shamel Robinson,6,Holmwood Technical High,,Holmwood Tec
14,13-14,Class 3,300 Meter Dash,Event 4,42.51,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Jody-Ann Dixon,7,Clarendon College,,Clarendon College
14,13-14,Class 3,300 Meter Dash,Event 4,42.84,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Shanique Rowe,8,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,43.29,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Anthonell Beckford,9,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,43.33,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Rashanae Jarvis,10,Dinthill Technical High,,Dinthill Tec
13,13-14,Class 3,300 Meter Dash,Event 4,43.38,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Salieci Myles,11,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,43.81,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Lisandra Brown,12,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,43.86,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Tiana Lugg,13,Alpha Academy,,Cma Alpha
14,13-14,Class 3,300 Meter Dash,Event 4,44.06,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Brittania Ingram,14,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,44.18,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Dania Ellis,15,Clarendon College,,Clarendon College
14,13-14,Class 3,300 Meter Dash,Event 4,44.23,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Crishel Wiggan,16,Dinthill Technical High,,Dinthill Tec
13,13-14,Class 3,300 Meter Dash,Event 4,44.82,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Brittanie Lewis,17,Knox College,,Knox College High
14,13-14,Class 3,300 Meter Dash,Event 4,44.94,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Shamia Parkinson,18,Bellefield High,,Bellefield H
13,13-14,Class 3,300 Meter Dash,Event 4,45.06,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Paula-Ann Chambers,19,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,45.09,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Asharia O'Conner,20,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,45.16,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Moya Masters,21,Bridgeport High,,Bridgeport H
14,13-14,Class 3,300 Meter Dash,Event 4,45.22,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Amoy Edwards,22,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,45.31,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Shackiera Bowra,23,St. Catherine High,,St Catherine
14,13-14,Class 3,300 Meter Dash,Event 4,45.32,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Crystal Walker,24,Alpha Academy,,Cma Alpha
14,13-14,Class 3,300 Meter Dash,Event 4,45.35,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Shackelia Cunnigham,25,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,45.86,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Kashia Thomas,26,Port Antonio High,,Port Antonio
14,13-14,Class 3,300 Meter Dash,Event 4,45.95,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Merwaine Drummond,27,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,46.07,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Kenisha Greenwood,28,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,46.22,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Lamoy Duffus,29,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,46.22,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Georgina Clarke,30,Dinthill Technical High,,Dinthill Tec
13,13-14,Class 3,300 Meter Dash,Event 4,46.48,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Samoyia Bendford,31,Dinthill Technical High,,Dinthill Tec
14,13-14,Class 3,300 Meter Dash,Event 4,47.48,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Shanique Perry,32,Alpha Academy,,Cma Alpha
13,13-14,Class 3,300 Meter Dash,Event 4,47.95,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Kayla Morris,33,Alpha Academy,,Cma Alpha
13,13-14,Class 3,300 Meter Dash,Event 4,48.24,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Ryaneka Lecky,34,Port Antonio High,,Port Antonio
13,13-14,Class 3,300 Meter Dash,Event 4,48.24,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Mizan Stephenson,35,Edwin Allen High,,Edwin Allen
14,13-14,Class 3,300 Meter Dash,Event 4,48.25,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Shauntae Sutherland,36,Bridgeport High,,Bridgeport H
13,13-14,Class 3,300 Meter Dash,Event 4,48.38,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Brandy Hall,37,Edwin Allen High,,Edwin Allen
,13-14,Class 3,300 Meter Dash,Event 4,48.42,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Sashana Noble,38,Mavis Bank High,,Mavis Bank H
14,13-14,Class 3,300 Meter Dash,Event 4,48.60,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Shenell Evans,39,Alpha Academy,,Cma Alpha
13,13-14,Class 3,300 Meter Dash,Event 4,48.79,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Raevonn Morris,40,Alpha Academy,,Cma Alpha
14,13-14,Class 3,300 Meter Dash,Event 4,49.08,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Sherika Simpson,41,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,49.19,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Altenescia Taylor,42,Knox College,,Knox College High
13,13-14,Class 3,300 Meter Dash,Event 4,49.56,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Annetia Ashely,43,Port Antonio High,,Port Antonio
,13-14,Class 3,300 Meter Dash,Event 4,49.85,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Shayera Smith,44,Charlemont High,,Charlemont H
,13-14,Class 3,300 Meter Dash,Event 4,50.24,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Mackayla Bernard,45,Charlemont High,,Charlemont H
14,13-14,Class 3,300 Meter Dash,Event 4,50.48,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Laurel Griffiths,46,Alpha Academy,,Cma Alpha
13,13-14,Class 3,300 Meter Dash,Event 4,50.85,Girls,5,2016-12-17,Gerald Claude Foster Over Distant Meet,Sabrina Francis,47,Knox College,,Knox College High
14,13-14,Class 3,300 Meter Dash,Event 4,51.28,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Aaliyah Mckenzie,48,Bridgeport High,,Bridgeport H
13,13-14,Class 3,300 Meter Dash,Event 4,51.35,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Monifa Edwards,49,Edwin Allen High,,Edwin Allen
16,13-14,Class 3,300 Meter Dash,Event 4,51.94,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Saja Osbourn,50,Dinthill Technical High,,Dinthill Tec
13,13-14,Class 3,300 Meter Dash,Event 4,52.13,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Denae Wright,51,Edwin Allen High,,Edwin Allen
13,13-14,Class 3,300 Meter Dash,Event 4,52.36,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Khristina Allen,52,Alpha Academy,,Cma Alpha
,13-14,Class 3,300 Meter Dash,Event 4,52.46,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Geneva Taylor,53,Mavis Bank High,,Mavis Bank H
13,13-14,Class 3,300 Meter Dash,Event 4,52.52,Girls,7,2016-12-17,Gerald Claude Foster Over Distant Meet,Shantae Morgan,54,Port Antonio High,,Port Antonio
13,13-14,Class 3,300 Meter Dash,Event 4,53.12,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Shaniel Morgan,55,Port Antonio High,,Port Antonio
17,13-14,Class 3,300 Meter Dash,Event 4,54.52,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Shanielle Reid,56,Tivoli Gardens High,,Tivoli Garde
14,13-14,Class 3,300 Meter Dash,Event 4,54.72,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Camoy Watson,57,Bellefield High,,Bellefield H
,13-14,Class 3,300 Meter Dash,Event 4,55.94,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Ashanti Wellington,58,Charlemont High,,Charlemont H
13,13-14,Class 3,300 Meter Dash,Event 4,57.57,Girls,6,2016-12-17,Gerald Claude Foster Over Distant Meet,Tian Brown,59,Alpha Academy,,Cma Alpha
12,13-14,Class 3,300 Meter Dash,Event 4,57.70,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Monique Fearon,60,Penwood High School,,Penwood High School
,13-14,Class 3,300 Meter Dash,Event 4,59.02,Girls,8,2016-12-17,Gerald Claude Foster Over Distant Meet,Antoinette Evans,61,Charlemont High,,Charlemont H
13,13-14,Class 3,300 Meter Dash,Event 4,NT,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Abbie-Gay Brady,--,Bellefield High,,Bellefield H
13,13-14,Class 3,300 Meter Dash,Event 4,DNF,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Patreece Clarke,--,Edwin Allen High,,Edwin Allen
16,15-16,Class 2,300 Meter Dash,Event 5,41.11,Girls,1,2016-12-17,Gerald Claude Foster Over Distant Meet,Shanette Allison,1,Holmwood Technical High,,Holmwood Tec
16,15-16,Class 2,300 Meter Dash,Event 5,41.54,Girls,4,2016-12-17,Gerald Claude Foster Over Distant Meet,Michae Harriott,2,Holmwood Technical High,,Holmwood Tec
15,15-16,Class 2,300 Meter Dash,Event 5,41.69,Girls,3,2016-12-17,Gerald Claude Foster Over Distant Meet,Krishawna Wallace,3,Holmwood Technical High,,Holmwood Tec
15,15-16,Class 2,300 Meter Dash,Event 5,42.06,Girls,2,2016-12-17,Gerald Claude Foster Over Distant Meet,Lotavia Brown,4,Edwin Allen High,,Edwin Allen
